"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-06-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Curacao","CUW","Impuestos laborales y contribuciones (% de ganancias comerciales)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Islas Caimán","CYM","Impuestos laborales y contribuciones (% de ganancias comerciales)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chipre","CYP","Impuestos laborales y contribuciones (% de ganancias comerciales)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.5","11.5","11.7","11.8","11.8","12","11.9","13.4","13.4","13.4","13","13","","",
"República Checa","CZE","Impuestos laborales y contribuciones (% de ganancias comerciales)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.5","39.5","39.5","39.5","39.5","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","","",
"Alemania","DEU","Impuestos laborales y contribuciones (% de ganancias comerciales)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.3","21.7","21.7","22.1","22","22","21.8","21.9","21.6","21.2","21.2","21.3","21.4","21.5","21.5","","",
"Djibouti","DJI","Impuestos laborales y contribuciones (% de ganancias comerciales)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","","",
"Dominica","DMA","Impuestos laborales y contribuciones (% de ganancias comerciales)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.9","7.9","7.9","7.9","7.9","7.9","7.9","7.9","7.9","7.9","7.9","7.9","7.9","7.9","7.9","","",
"Dinamarca","DNK","Impuestos laborales y contribuciones (% de ganancias comerciales)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.4","1.8","2.5","2.5","3.6","3.6","3.6","3.6","3","3","3","3.2","3.9","4","4","","",
"República Dominicana","DOM","Impuestos laborales y contribuciones (% de ganancias comerciales)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.5","8.9","9.5","13.4","17.8","18.3","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","","",
"Argelia","DZA","Impuestos laborales y contribuciones (% de ganancias comerciales)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.3","31.3","30.2","30.2","30.3","30.3","30.3","30.2","30.2","31.1","31.1","31.1","31.1","31.1","31.1","","",
